City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
112,Nansio,TZ,-2.1333,33.05,69.8,83,75,5.53,broken clouds
113,Rafaela,AR,-31.2503,-61.4867,90.0,17,12,8.01,few clouds
114,Dabat,ET,12.9842,37.765,50.14,56,3,4.03,clear sky
115,Adre,TD,13.4667,22.2,62.94,26,0,19.95,clear sky
116,Rio Gallegos,AR,-51.6226,-69.2181,66.2,39,40,23.02,scattered clouds
117,Iqaluit,CA,63.7506,-68.5145,5.0,72,75,20.71,snow
118,Lagunas,PE,-5.2269,-75.6753,73.45,96,99,3.51,light rain
119,Malinovoye Ozero,RU,51.6753,79.7825,22.53,98,100,7.45,overcast clouds
120,Paita,PE,-5.0892,-81.1144,82.4,54,40,14.97,scattered clouds
121,Basavakalyan,IN,17.8667,76.95,69.67,47,0,0.51,clear sky
122,Dingle,PH,10.9995,122.6711,74.91,91,98,2.51,light rain
123,Toamasina,MG,-18.1667,49.3833,82.4,89,40,5.75,light rain
124,Ibicarai,BR,-14.865,-39.5875,84.2,65,40,8.05,scattered clouds
125,Longyearbyen,SJ,78.2186,15.6401,15.8,62,20,21.85,few clouds
126,San Antero,CO,9.3741,-75.7589,86.58,57,42,10.38,scattered clouds
127,Belz,FR,47.6751,-3.168,52.0,100,99,31.27,overcast clouds
128,Sergeyevka,KZ,53.88,67.4158,-2.88,91,80,14.41,broken clouds
129,Touros,BR,-5.1989,-35.4608,82.4,74,40,17.27,scattered clouds
130,Rypefjord,NO,70.6333,23.6667,17.6,67,0,13.8,clear sky
131,Rodrigues Alves,BR,-7.738,-72.6509,78.8,89,75,8.05,broken clouds
132,Tarko-Sale,RU,64.9225,77.785,-29.72,85,11,5.7,few clouds
133,San Pedro,PH,14.35,121.0167,77.0,94,90,1.14,moderate rain
134,Awbari,LY,26.5921,12.7805,48.22,52,0,7.23,clear sky
135,Kidal,ML,18.4411,1.4078,66.65,22,73,11.18,broken clouds
136,Inirida,CO,3.8653,-67.9239,83.57,79,83,1.99,moderate rain
137,Vila Velha,BR,-20.3297,-40.2925,86.0,58,40,13.8,scattered clouds
138,Jijiga,ET,9.35,42.8,60.89,33,4,6.87,clear sky
139,Port-Gentil,GA,-0.7193,8.7815,80.6,83,20,4.61,few clouds
140,San Carlos,VE,9.6612,-68.5827,89.44,43,98,0.98,overcast clouds
141,Porto Santo,PT,33.072,-16.3415,62.6,82,40,10.36,scattered clouds
142,North Port,US,27.0442,-82.2359,75.0,49,62,7.25,broken clouds
143,Bolobo,CD,-2.1667,16.2333,74.5,81,66,2.46,broken clouds
144,Salo,IT,45.6086,10.531,37.99,100,90,2.3,drizzle
145,Fern Creek,US,38.1598,-85.5877,41.0,38,1,10.36,clear sky
146,Revda,RU,56.801,59.9303,-0.4,78,40,13.42,light snow
147,Khudumelapye,BW,-23.8833,24.75,78.78,34,100,2.55,overcast clouds
148,Tulum,MX,20.2167,-87.4667,80.6,61,20,10.36,light rain
149,Tiznit,MA,29.5833,-9.5,55.24,63,1,4.59,clear sky
150,Dombasle-Sur-Meurthe,FR,48.6252,6.3497,51.8,58,0,18.41,clear sky
151,Richards Bay,ZA,-28.783,32.0377,72.86,85,44,8.19,scattered clouds
152,Gap,FR,44.6667,6.0,25.05,98,100,7.25,overcast clouds
153,Nalut,LY,30.3333,10.85,49.53,48,32,9.62,scattered clouds
154,Antsohihy,MG,-14.8796,47.9875,74.26,93,100,7.0,light rain
155,Ilulissat,GL,69.2167,-51.1,24.8,68,75,1.14,broken clouds
156,Port Elizabeth,ZA,-33.918,25.5701,68.0,77,6,4.0,clear sky
157,Lumeje,AO,-11.55,20.7833,73.54,66,100,3.51,overcast clouds
158,Kharp,RU,66.8014,65.8081,-15.36,86,100,10.2,overcast clouds
159,Uzhur,RU,55.3036,89.8339,-20.06,86,1,4.79,clear sky
160,Outjo,NA,-20.1167,16.15,68.14,82,100,12.82,moderate rain
161,Clyde River,CA,70.4692,-68.5914,6.8,92,75,5.75,broken clouds
162,Maniwaki,CA,46.3834,-75.966,10.4,61,79,5.75,broken clouds
163,Bandarbeyla,SO,9.4942,50.8122,74.61,80,90,19.04,overcast clouds
164,Goias,BR,-15.5807,-49.6362,83.55,60,19,4.99,few clouds
165,Mednogorsk,RU,51.4128,57.595,-6.2,92,97,6.04,overcast clouds
166,Orodara,BF,10.9492,-4.9342,77.0,33,0,5.75,clear sky
167,Arlit,NE,18.7369,7.3853,65.66,24,0,8.55,clear sky
168,Vallenar,CL,-28.5708,-70.7581,85.64,23,0,11.3,clear sky
169,Yar-Sale,RU,66.8333,70.8333,-22.83,87,100,12.01,overcast clouds
170,Canto Do Buriti,BR,-8.11,-42.9444,85.66,55,93,4.16,overcast clouds
171,Kinsale,IE,51.7075,-8.5306,37.4,87,40,10.36,scattered clouds
172,Sirjan,IR,29.452,55.6814,48.2,44,0,12.41,clear sky
173,Tamale,GH,9.4008,-0.8393,84.54,14,0,6.58,clear sky
174,Bahia Honda,CU,22.9036,-83.1592,74.55,67,5,13.49,clear sky
175,Huarmey,PE,-10.0681,-78.1522,76.55,67,98,11.5,overcast clouds
176,Bell Ville,AR,-32.6259,-62.6887,98.42,12,0,11.34,clear sky
177,Bakchar,RU,57.0186,82.0711,-16.06,87,100,6.04,overcast clouds
178,Royan,FR,45.6285,-1.0281,53.6,62,100,19.57,overcast clouds
