City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
107,Akcakoca,TR,2021-01-19 22:18:11,41.0866,31.1162,28.09,96,99,7.09
108,Black River,JM,2021-01-19 22:18:11,18.0264,-77.8487,81.0,74,40,17.27
109,Klaksvik,FO,2021-01-19 22:18:11,62.2266,-6.589,35.6,80,87,6.91
110,Kotka,FI,2021-01-19 22:18:11,60.4664,26.9458,30.2,100,90,6.91
111,Trairi,BR,2021-01-19 22:18:12,-3.2778,-39.2689,80.04,78,100,10.8
112,Ribeira Grande,PT,2021-01-19 22:18:12,38.5167,-28.7,60.8,77,40,16.11
113,Gamba,GA,2021-01-19 22:18:12,-2.65,10.0,77.34,81,94,1.61
114,Rudbar,AF,2021-01-19 22:18:12,30.15,62.6,55.89,35,0,4.09
115,Rocha,UY,2021-01-19 22:18:12,-34.4833,-54.3333,75.25,54,0,5.7
116,Cefalu,IT,2021-01-19 22:18:12,38.0386,14.0229,48.99,63,0,4.0
117,Lagoa,PT,2021-01-19 22:18:13,39.05,-27.9833,59.43,72,100,23.11
118,Viedma,AR,2021-01-19 22:18:13,-40.8135,-62.9967,81.12,39,32,14.2
119,Ballina,AU,2021-01-19 22:18:13,-28.8667,153.5667,73.4,68,90,12.66
120,Hambantota,LK,2021-01-19 22:18:13,6.1241,81.1185,75.2,100,40,1.14
121,Anori,BR,2021-01-19 22:18:13,-3.7728,-61.6442,77.97,91,33,1.79
122,Presidencia Roque Saenz Pena,AR,2021-01-19 22:18:13,-26.7852,-60.4388,87.01,43,0,5.01
123,Toktogul,KG,2021-01-19 22:18:13,41.8708,72.9402,35.98,82,100,1.86
124,Lujan,AR,2021-01-19 22:18:13,-34.5703,-59.105,91.0,41,34,5.01
125,Mancio Lima,BR,2021-01-19 22:18:14,-7.6142,-72.8958,78.8,89,75,3.44
126,Kurandvad,IN,2021-01-19 22:18:14,16.6833,74.5833,71.01,67,0,3.36
127,Loubomo,CG,2021-01-19 22:18:14,-4.1997,12.6739,72.16,88,98,1.61
128,Lebu,CL,2021-01-19 22:18:14,-37.6167,-73.65,63.18,74,0,22.35
129,Isla Mujeres,MX,2021-01-19 22:18:14,21.2311,-86.731,80.6,69,75,10.36
130,Saint Anthony,US,2021-01-19 22:18:14,45.0205,-93.218,15.8,67,40,16.11
131,Borovoy,RU,2021-01-19 22:18:14,55.4333,86.0833,-11.2,77,40,4.47
132,Port Alfred,ZA,2021-01-19 22:18:15,-33.5906,26.891,66.99,93,24,5.01
133,Bilma,NE,2021-01-19 22:18:15,18.6853,12.9164,62.33,28,0,11.27
134,Lerik,AZ,2021-01-19 22:18:15,38.7726,48.4128,35.6,100,90,9.22
135,Alta,NO,2021-01-19 22:18:15,69.9689,23.2717,10.99,92,0,3.44
136,Jilove,CZ,2021-01-19 22:18:15,50.7608,14.1038,33.01,89,100,9.48
137,Njombe,TZ,2021-01-19 22:18:15,-9.3333,34.7667,59.31,91,100,2.84
138,Domoni,KM,2021-01-19 22:18:15,-12.2569,44.5319,80.98,82,100,10.47
139,Bria,CF,2021-01-19 22:18:16,6.5423,21.9863,71.4,26,3,5.64
140,Rodrigues Alves,BR,2021-01-19 22:18:16,-7.738,-72.6509,78.8,89,75,3.44
141,Adeje,ES,2021-01-19 22:18:16,28.1227,-16.726,62.01,72,20,3.44
142,Teramo,IT,2021-01-19 22:18:16,42.65,13.6833,37.0,64,4,3.0
143,Pauini,BR,2021-01-19 22:18:16,-7.7136,-66.9764,76.98,85,100,0.16
144,Gerash,IR,2021-01-19 22:18:16,27.6652,54.1371,48.2,43,0,2.82
145,Coquimbo,CL,2021-01-19 22:18:17,-29.9533,-71.3436,64.4,68,0,11.5
146,Balkanabat,TM,2021-01-19 22:18:17,39.5108,54.3671,44.35,62,96,2.01
